Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,1142,110358,44,44,36,36
,,,,,,,,
2,ACLY_HUMAN,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,1117,121674,47,46,23,23
,,,,,,,,
3,SMC3_HUMAN,Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2,847,141853,33,32,25,24
,,,,,,,,
4,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,844,92696,44,44,23,23
,,,,,,,,
5,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,824,283301,36,36,26,26
,,,,,,,,
6,MCM2_HUMAN,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,818,102516,35,34,25,25
,,,,,,,,
7,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,798,93801,26,26,19,19
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,LPPRC_HUMAN,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3",749,159003,36,34,27,26
,,,,,,,,
10,IPO5_HUMAN,Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,622,125032,18,18,12,12
,,,,,,,,
11,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,617,105962,27,26,21,20
,,,,,,,,
12,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,616,59043,26,26,16,16
,,,,,,,,
13,FAS_HUMAN,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,573,275877,29,28,20,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,SYVC_HUMAN,Valyl-tRNA synthetase OS=Homo sapiens GN=VARS PE=1 SV=4,567,141642,21,21,17,17
,,,,,,,,
16,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",555,102180,20,20,17,17
,,,,,,,,
17,SF3B3_HUMAN,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4,549,136575,21,21,16,16
,,,,,,,,
18,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,523,96246,24,22,19,17
,,,,,,,,
19,GANAB_HUMAN,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,522,107263,30,29,18,17
,,,,,,,,
20,SF3A1_HUMAN,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,519,88888,27,27,18,18
,,,,,,,,
21,XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,516,111145,26,24,18,17
,,,,,,,,
22,U5S1_HUMAN,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,510,110336,23,23,16,16
,,,,,,,,
23,TPR_HUMAN,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,502,267530,23,23,19,19
,,,,,,,,
24,KIF11_HUMAN,Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2,492,120111,24,24,19,19
,,,,,,,,
25,HS105_HUMAN,Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,490,97716,23,22,16,15
,,,,,,,,
26,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,476,105245,32,32,21,21
,,,,,,,,
,,,,,,,,
,,,,,,,,
28,USO1_HUMAN,General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2,466,108740,17,15,14,13
,,,,,,,,
29,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,464,83554,20,19,13,13
,,,,,,,,
30,TIF1B_HUMAN,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,464,90261,27,25,18,17
,,,,,,,,
31,MCM3_HUMAN,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,451,91551,20,20,14,14
,,,,,,,,
32,HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,446,95127,17,17,14,14
,,,,,,,,
33,ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,439,103563,26,26,17,17
,,,,,,,,
34,SMC2_HUMAN,Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,438,136085,23,23,18,18
,,,,,,,,
35,EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,425,92823,27,27,18,18
,,,,,,,,
36,SFPQ_HUMAN,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",410,76216,22,22,14,14
,,,,,,,,
37,RPB2_HUMAN,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,410,135236,20,19,16,16
,,,,,,,,
38,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,391,114135,17,17,13,13
,,,,,,,,
