Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,10828,83554,461,456,46,45
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,10158,85006,443,436,41,39
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,1786,89950,78,77,34,34
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,1558,105245,54,54,32,32
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,ACLY_HUMAN,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,1172,121674,44,44,25,25
,,,,,,,,
14,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,1077,92696,44,43,25,25
,,,,,,,,
15,HS105_HUMAN,Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,1049,97716,39,38,19,19
,,,,,,,,
,,,,,,,,
,,,,,,,,
17,XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,886,111145,41,41,22,22
,,,,,,,,
18,HORN_HUMAN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,869,283140,22,22,11,11
,,,,,,,,
19,MCM4_HUMAN,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,845,97068,39,36,22,21
,,,,,,,,
20,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",836,102180,31,31,24,24
,,,,,,,,
21,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,811,93801,31,30,23,23
,,,,,,,,
,,,,,,,,
,,,,,,,,
23,KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,793,110358,25,24,21,20
,,,,,,,,
24,HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,785,95127,23,22,11,11
,,,,,,,,
25,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,768,96246,29,29,18,18
,,,,,,,,
26,IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,765,98420,31,30,16,16
,,,,,,,,
27,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,762,105962,28,28,20,20
,,,,,,,,
28,GANAB_HUMAN,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,751,107263,41,37,26,25
,,,,,,,,
29,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,681,59043,34,34,18,18
,,,,,,,,
30,NUP93_HUMAN,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,658,93943,29,29,24,24
,,,,,,,,
31,HS74L_HUMAN,Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=1 SV=2,630,95453,21,20,9,9
,,,,,,,,
32,TIF1B_HUMAN,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,599,90261,23,23,12,12
,,,,,,,,
33,MCM3_HUMAN,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,593,91551,27,27,19,19
,,,,,,,,
34,IPO5_HUMAN,Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,593,125032,17,16,13,12
,,,,,,,,
35,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,588,67982,27,27,14,14
,,,,,,,,
36,EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,586,92823,31,31,16,16
