Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,10174,59043,575,568,31,31
,,,,,,,,
2,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,8624,71082,368,363,34,34
,,,,,,,,
3,ANM5_HUMAN,Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,7450,73322,421,411,31,31
,,,,,,,,
4,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,5845,70294,256,246,28,28
,,,,,,,,
5,HSP72_HUMAN,Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1,3080,70263,119,116,12,12
,,,,,,,,
6,GRP78_HUMAN,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,2585,72402,88,84,31,31
,,,,,,,,
7,GRP75_HUMAN,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",2213,73920,144,129,22,22
,,,,,,,,
8,LMNB1_HUMAN,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,1670,66653,69,68,36,36
,,,,,,,,
9,LMNB2_HUMAN,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,1049,67762,45,45,29,29
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,876,70854,32,32,17,17
,,,,,,,,
12,PDIA4_HUMAN,Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,797,73229,31,31,19,19
,,,,,,,,
13,TRAP1_HUMAN,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3",783,80345,26,26,13,13
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,MTA2_HUMAN,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,749,75717,33,32,20,20
,,,,,,,,
16,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1",746,67144,31,29,17,17
,,,,,,,,
17,LMNA_HUMAN,Lamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,738,74380,25,25,17,17
,,,,,,,,
18,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,731,68641,29,29,17,17
,,,,,,,,
19,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,636,83554,23,23,16,16
,,,,,,,,
20,SYG_HUMAN,Glycyl-tRNA synthetase OS=Homo sapiens GN=GARS PE=1 SV=2,589,83828,25,23,14,14
,,,,,,,,
21,FUBP1_HUMAN,Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3,551,67690,21,21,14,14
,,,,,,,,
22,SYRC_HUMAN,"Arginyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2",548,76129,25,25,18,18
,,,,,,,,
23,ECHA_HUMAN,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",544,83688,16,16,14,14
,,,,,,,,
24,KU70_HUMAN,ATP-dependent DNA helicase 2 subunit 1 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,535,70084,21,21,15,15
,,,,,,,,
25,MOES_HUMAN,Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,535,67892,25,24,18,18
,,,,,,,,
26,CMC2_HUMAN,Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens GN=SLC25A13 PE=1 SV=2,530,74528,19,19,14,14
,,,,,,,,
27,HNRPM_HUMAN,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,527,77749,16,16,12,12
,,,,,,,,
28,VATA_HUMAN,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2,526,68660,22,22,12,12
,,,,,,,,
29,DDX17_HUMAN,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1,520,72953,21,21,15,15
,,,,,,,,
30,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,499,61054,27,25,17,16
,,,,,,,,
31,PLST_HUMAN,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,496,71279,24,23,14,14
,,,,,,,,
32,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,496,73597,26,25,17,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
34,NDUS1_HUMAN,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",481,80443,17,17,13,13
,,,,,,,,
35,RFA1_HUMAN,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,481,68723,17,16,12,12
,,,,,,,,
