Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,4949,83554,282,265,48,48
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,4332,85006,238,232,42,42
,,,,,,,,
3,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,1965,89950,109,101,25,24
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,1045,59043,46,46,21,21
,,,,,,,,
6,KU86_HUMAN,ATP-dependent DNA helicase 2 subunit 2 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,735,83222,35,35,23,23
,,,,,,,,
7,MCM7_HUMAN,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,730,81884,31,31,16,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,GLU2B_HUMAN,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,660,60357,30,29,15,15
,,,,,,,,
11,IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,644,98420,29,28,15,15
,,,,,,,,
12,SYQ_HUMAN,Glutaminyl-tRNA synthetase OS=Homo sapiens GN=QARS PE=1 SV=1,607,88655,25,24,19,18
,,,,,,,,
13,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,595,100877,29,27,22,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,586,96246,26,25,17,16
,,,,,,,,
16,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,558,67982,33,31,19,17
,,,,,,,,
17,IF4B_HUMAN,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,537,69167,27,27,13,13
,,,,,,,,
,,,,,,,,
,,,,,,,,
19,HORN_HUMAN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,510,283140,16,16,9,9
,,,,,,,,
20,FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=3,501,73443,20,19,14,14
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,NUP93_HUMAN,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,469,93943,26,26,21,21
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,405,92696,21,20,16,16
,,,,,,,,
26,P5CS_HUMAN,Delta-1-pyrroline-5-carboxylate synthetase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,404,87989,16,16,12,12
,,,,,,,,
27,IMMT_HUMAN,Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1,400,84026,18,16,14,13
,,,,,,,,
28,CTNB1_HUMAN,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,392,86069,16,15,13,12
,,,,,,,,
29,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,378,70294,12,12,8,8
,,,,,,,,
30,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,372,283301,15,15,14,14
,,,,,,,,
,,,,,,,,
,,,,,,,,
32,PLAK_HUMAN,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,364,82434,15,14,10,9
,,,,,,,,
33,TFR1_HUMAN,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,352,85274,18,17,14,14
,,,,,,,,
34,4F2_HUMAN,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3,348,68180,15,14,11,10
,,,,,,,,
35,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,338,71082,11,11,8,8
,,,,,,,,
36,CSDE1_HUMAN,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,324,89684,18,18,12,12
,,,,,,,,
37,MCM5_HUMAN,DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5,317,83031,16,16,12,12
,,,,,,,,
