Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,7225,83554,344,336,41,41
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,6707,85006,307,304,36,36
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,2580,89950,138,133,25,24
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,1614,59043,93,91,23,23
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,1016,105245,45,45,28,28
,,,,,,,,
10,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,911,93801,34,34,20,20
,,,,,,,,
11,ACLY_HUMAN,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,892,121674,39,39,23,23
,,,,,,,,
12,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,879,92696,42,42,28,28
,,,,,,,,
13,XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,837,111145,34,34,21,21
,,,,,,,,
14,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,775,96246,32,32,22,22
,,,,,,,,
15,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,770,283301,28,27,21,20
,,,,,,,,
16,HS105_HUMAN,Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,744,97716,30,30,19,19
,,,,,,,,
17,GANAB_HUMAN,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,740,107263,37,35,25,24
,,,,,,,,
,,,,,,,,
,,,,,,,,
19,IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,729,98420,31,31,16,16
,,,,,,,,
20,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",717,102180,30,29,25,24
,,,,,,,,
21,KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,685,110358,25,25,21,21
,,,,,,,,
22,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,658,67982,34,34,14,14
,,,,,,,,
23,HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,640,95127,24,24,15,15
,,,,,,,,
24,MCM4_HUMAN,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,568,97068,25,24,13,13
,,,,,,,,
25,ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,561,103563,26,26,16,16
,,,,,,,,
26,NUP93_HUMAN,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,525,93943,25,25,23,23
,,,,,,,,
27,HS74L_HUMAN,Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=1 SV=2,517,95453,19,19,11,11
,,,,,,,,
28,HORN_HUMAN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,516,283140,17,17,10,10
,,,,,,,,
29,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,487,100877,26,26,17,17
,,,,,,,,
30,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,486,105962,22,22,16,16
,,,,,,,,
31,TFR1_HUMAN,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,469,85274,18,18,13,13
,,,,,,,,
32,SYQ_HUMAN,Glutaminyl-tRNA synthetase OS=Homo sapiens GN=QARS PE=1 SV=1,467,88655,21,20,18,18
,,,,,,,,
33,UBA1_HUMAN,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,455,118858,15,15,11,11
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
36,USO1_HUMAN,General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2,437,108740,20,20,14,14
,,,,,,,,
37,IPO5_HUMAN,Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,428,125032,14,14,10,10
,,,,,,,,
38,MCM3_HUMAN,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,428,91551,18,18,14,14
,,,,,,,,
39,COPB2_HUMAN,Coatomer subunit beta~ OS=Homo sapiens GN=COPB2 PE=1 SV=2,425,103278,18,17,12,11
,,,,,,,,
40,SFPQ_HUMAN,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",424,76216,20,20,14,14
,,,,,,,,
41,TIF1B_HUMAN,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,421,90261,17,17,13,13
,,,,,,,,
42,CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,421,193260,13,13,11,11
,,,,,,,,
43,CTNA1_HUMAN,Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1,415,100693,18,18,14,14
,,,,,,,,
44,AL1L2_HUMAN,Probable 10-formyltetrahydrofolate dehydrogenase ALDH1L2 OS=Homo sapiens GN=ALDH1L2 PE=1 SV=2,397,102365,15,15,14,14
,,,,,,,,
45,PUR2_HUMAN,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1,387,108953,19,19,17,17
,,,,,,,,
46,MCM7_HUMAN,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,386,81884,18,18,15,15
,,,,,,,,
47,EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,386,92823,24,24,16,16
,,,,,,,,
48,FAS_HUMAN,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,379,275877,17,17,16,16
,,,,,,,,
49,SND1_HUMAN,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,368,102618,17,17,12,12
,,,,,,,,
50,LONM_HUMAN,"Lon protease homolog, mitochondrial OS=Homo sapiens GN=LONP1 PE=1 SV=2",365,106936,16,16,11,11
,,,,,,,,
,,,,,,,,
,,,,,,,,
52,UN45A_HUMAN,Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A PE=1 SV=1,365,104266,14,13,13,12
,,,,,,,,
53,NUCL_HUMAN,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,351,76625,17,17,12,12
,,,,,,,,
54,4F2_HUMAN,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3,343,68180,14,14,11,11
,,,,,,,,
55,SF3A1_HUMAN,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,335,88888,18,18,16,16
,,,,,,,,
56,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,335,114135,14,14,12,12
,,,,,,,,
57,C1TM_HUMAN,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1",334,106636,16,16,14,14
,,,,,,,,
58,CTNB1_HUMAN,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,333,86069,12,11,10,9
,,,,,,,,
