Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
,,,,,,,,
,,,,,,,,
2,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,4240,59043,282,276,28,27
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,ANM5_HUMAN,Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,3835,73322,261,245,21,21
,,,,,,,,
5,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,3595,71082,138,134,28,27
,,,,,,,,
6,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,3359,70294,135,133,24,24
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,HS71L_HUMAN,Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2,2242,70730,81,81,9,9
,,,,,,,,
9,GRP75_HUMAN,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",1661,73920,73,66,17,17
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,LMNB1_HUMAN,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,1139,66653,47,46,26,26
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,GRP78_HUMAN,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,706,72402,28,27,17,17
,,,,,,,,
16,HORN_HUMAN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,672,283140,18,18,11,11
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
19,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,484,83554,23,22,15,14
,,,,,,,,
20,LMNB2_HUMAN,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,473,67762,24,20,18,15
,,,,,,,,
21,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1",450,67144,17,17,13,13
,,,,,,,,
22,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,447,85006,18,18,13,13
,,,,,,,,
23,KLC2_HUMAN,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1,434,69291,16,16,13,13
,,,,,,,,
24,PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,422,70854,25,24,13,13
,,,,,,,,
25,ACSL3_HUMAN,Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3,418,81338,16,16,10,10
,,,,,,,,
26,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,412,68641,18,18,13,13
