Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,FAS_HUMAN,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,2631,275877,113,111,58,57
,,,,,,,,
2,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,2613,283301,102,96,64,61
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,TPR_HUMAN,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,1185,267530,54,52,41,41
,,,,,,,,
9,CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,1154,193260,49,48,28,28
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,FLNB_HUMAN,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1,1092,280188,50,49,37,37
,,,,,,,,
12,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,1092,534809,57,54,49,47
,,,,,,,,
,,,,,,,,
,,,,,,,,
14,SYEP_HUMAN,Bifunctional aminoacyl-tRNA synthetase OS=Homo sapiens GN=EPRS PE=1 SV=5,1025,172080,43,43,30,30
,,,,,,,,
15,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,1002,59043,62,57,21,21
,,,,,,,,
16,HUWE1_HUMAN,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,955,485523,41,41,32,32
,,,,,,,,
17,SMC1A_HUMAN,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,944,143771,54,53,41,40
,,,,,,,,
18,PRKDC_HUMAN,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,906,473749,43,43,35,35
,,,,,,,,
19,EIF3A_HUMAN,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,904,166867,65,64,42,42
,,,,,,,,
20,RBP2_HUMAN,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,894,362365,32,32,26,26
,,,,,,,,
