Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,4493,83554,206,200,41,40
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,4367,85006,205,197,37,36
,,,,,,,,
3,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,2625,89950,137,129,23,23
,,,,,,,,
4,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,1970,59043,89,89,22,22
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,860,92696,37,37,26,26
,,,,,,,,
9,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,782,93801,31,30,20,19
,,,,,,,,
10,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,705,67982,36,36,16,16
,,,,,,,,
11,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,670,105245,32,32,22,22
,,,,,,,,
12,GANAB_HUMAN,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,640,107263,35,32,21,21
,,,,,,,,
13,XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,622,111145,30,28,22,21
,,,,,,,,
14,MCM4_HUMAN,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,618,97068,26,26,15,15
,,,,,,,,
15,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",611,102180,23,23,18,18
,,,,,,,,
16,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,596,96246,27,27,20,20
,,,,,,,,
