Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,4773,83554,248,247,41,41
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,4582,85006,235,230,40,40
,,,,,,,,
3,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,2350,89950,115,114,22,22
,,,,,,,,
4,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,2148,96246,121,120,31,31
,,,,,,,,
5,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,1212,59043,46,46,16,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=3,574,73443,21,21,14,14
,,,,,,,,
12,IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,547,98420,30,29,17,16
,,,,,,,,
13,IF4B_HUMAN,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,540,69167,30,30,15,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,492,71082,18,18,9,9
,,,,,,,,
16,KU86_HUMAN,ATP-dependent DNA helicase 2 subunit 2 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,480,83222,26,25,18,17
,,,,,,,,
17,MCM7_HUMAN,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,465,81884,20,20,13,13
,,,,,,,,
18,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,463,70294,17,17,8,8
,,,,,,,,
19,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,460,67982,24,23,12,12
,,,,,,,,
20,SYQ_HUMAN,Glutaminyl-tRNA synthetase OS=Homo sapiens GN=QARS PE=1 SV=1,447,88655,21,20,15,15
,,,,,,,,
21,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,441,100877,21,21,17,17
,,,,,,,,
22,P5CS_HUMAN,Delta-1-pyrroline-5-carboxylate synthetase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,407,87989,16,16,11,11
,,,,,,,,
23,EZRI_HUMAN,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,405,69484,25,25,18,18
,,,,,,,,
