Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,9002,83554,431,417,48,47
,,,,,,,,
2,HS90A_HUMAN,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,8329,85006,354,350,42,41
,,,,,,,,
3,TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,5441,89950,246,244,30,30
,,,,,,,,
4,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,2078,59043,87,86,28,28
,,,,,,,,
5,CALX_HUMAN,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,1036,67982,59,58,17,17
,,,,,,,,
6,MCM7_HUMAN,DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,920,81884,35,33,21,21
,,,,,,,,
7,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,794,100877,39,38,24,23
,,,,,,,,
8,KU86_HUMAN,ATP-dependent DNA helicase 2 subunit 2 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,785,83222,41,41,24,24
,,,,,,,,
9,NUP93_HUMAN,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,758,93943,33,32,25,24
,,,,,,,,
10,IMB1_HUMAN,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,714,98420,33,33,18,18
,,,,,,,,
11,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,690,96246,27,27,18,18
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,GLU2B_HUMAN,Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2,662,60357,32,30,15,14
,,,,,,,,
14,SYQ_HUMAN,Glutaminyl-tRNA synthetase OS=Homo sapiens GN=QARS PE=1 SV=1,648,88655,25,25,19,19
,,,,,,,,
15,AL1L2_HUMAN,Probable 10-formyltetrahydrofolate dehydrogenase ALDH1L2 OS=Homo sapiens GN=ALDH1L2 PE=1 SV=2,609,102365,20,20,18,18
,,,,,,,,
16,CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,569,193260,20,19,17,16
,,,,,,,,
17,TNPO1_HUMAN,Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2,563,103771,21,21,12,12
,,,,,,,,
18,FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=3,526,73443,19,19,15,15
,,,,,,,,
19,P5CS_HUMAN,Delta-1-pyrroline-5-carboxylate synthetase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,525,87989,26,26,13,13
,,,,,,,,
20,CTNB1_HUMAN,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,499,86069,17,17,12,12
,,,,,,,,
21,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,497,283301,16,16,15,15
,,,,,,,,
22,TFR1_HUMAN,Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,486,85274,21,21,17,17
,,,,,,,,
23,IF4B_HUMAN,Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,481,69167,29,29,11,11
,,,,,,,,
24,CSDE1_HUMAN,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,477,89684,22,22,17,17
,,,,,,,,
,,,,,,,,
,,,,,,,,
26,IMMT_HUMAN,Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1,451,84026,22,22,16,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
28,GANAB_HUMAN,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,420,107263,19,17,13,12
,,,,,,,,
29,4F2_HUMAN,4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3,415,68180,18,18,12,12
,,,,,,,,
30,SYMC_HUMAN,"Methionyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2",407,102249,19,17,14,14
,,,,,,,,
31,LETM1_HUMAN,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1",396,83986,17,17,13,13
,,,,,,,,
32,RIOK1_HUMAN,Serine/threonine-protein kinase RIO1 OS=Homo sapiens GN=RIOK1 PE=1 SV=2,394,65884,11,11,9,9
,,,,,,,,
33,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,386,92696,17,17,15,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
35,COPB2_HUMAN,Coatomer subunit beta~ OS=Homo sapiens GN=COPB2 PE=1 SV=2,368,103278,16,15,12,12
,,,,,,,,
,,,,,,,,
,,,,,,,,
37,MCM4_HUMAN,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,363,97068,15,15,10,10
,,,,,,,,
38,SYEP_HUMAN,Bifunctional aminoacyl-tRNA synthetase OS=Homo sapiens GN=EPRS PE=1 SV=5,350,172080,13,13,12,12
,,,,,,,,
39,MCM5_HUMAN,DNA replication licensing factor MCM5 OS=Homo sapiens GN=MCM5 PE=1 SV=5,345,83031,16,16,13,13
,,,,,,,,
40,HOOK1_HUMAN,Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1 PE=1 SV=2,341,85222,11,11,8,8
,,,,,,,,
41,SYTC_HUMAN,"Threonyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3",337,84294,19,19,14,14
,,,,,,,,
42,PLAK_HUMAN,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,337,82434,13,13,8,8
,,,,,,,,
43,RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,335,90925,12,12,7,7
,,,,,,,,
44,UN45A_HUMAN,Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A PE=1 SV=1,326,104266,15,15,12,12
,,,,,,,,
45,SF3A1_HUMAN,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,326,88888,12,12,10,10
,,,,,,,,
46,EZRI_HUMAN,Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4,324,69484,18,16,13,12
,,,,,,,,
47,ZW10_HUMAN,Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3,322,89628,11,11,9,9
,,,,,,,,
48,PLEC1_HUMAN,Plectin-1 OS=Homo sapiens GN=PLEC1 PE=1 SV=3,321,533462,16,16,13,13
,,,,,,,,
49,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,319,71082,13,13,9,9
,,,,,,,,
50,ACAP2_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3",318,88943,14,14,12,12
,,,,,,,,
51,CSTF3_HUMAN,Cleavage stimulation factor subunit 3 OS=Homo sapiens GN=CSTF3 PE=1 SV=1,301,83325,10,10,9,9
,,,,,,,,
52,STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,285,87850,9,9,6,6
,,,,,,,,
53,RNZ2_HUMAN,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens GN=ELAC2 PE=1 SV=2,275,93415,10,10,9,9
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
56,COPG_HUMAN,Coatomer subunit gamma OS=Homo sapiens GN=COPG PE=1 SV=1,254,98967,13,13,10,10
,,,,,,,,
57,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,248,93801,11,11,10,10
,,,,,,,,
58,DHX15_HUMAN,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,246,91673,11,11,10,10
,,,,,,,,
59,COPG2_HUMAN,Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1,245,98700,12,12,9,9
,,,,,,,,
60,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,243,114135,10,10,10,10
,,,,,,,,
61,EIF3A_HUMAN,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,242,166867,14,14,13,13
,,,,,,,,
62,RADI_HUMAN,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,233,68635,12,10,8,7
,,,,,,,,
63,HEAT2_HUMAN,HEAT repeat-containing protein 2 OS=Homo sapiens GN=HEATR2 PE=1 SV=3,227,94746,12,12,10,10
,,,,,,,,
64,AAAT_HUMAN,Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2,226,57018,6,6,3,3
,,,,,,,,
65,SEC63_HUMAN,Translocation protein SEC63 homolog OS=Homo sapiens GN=SEC63 PE=1 SV=2,226,88341,9,9,7,7
,,,,,,,,
66,DDX1_HUMAN,ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2,224,83349,11,10,11,10
,,,,,,,,
67,PLOD2_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2",214,85373,8,8,7,7
,,,,,,,,
68,IRS4_HUMAN,Insulin receptor substrate 4 OS=Homo sapiens GN=IRS4 PE=1 SV=1,212,134711,6,6,6,6
,,,,,,,,
69,SUZ12_HUMAN,Polycomb protein SUZ12 OS=Homo sapiens GN=SUZ12 PE=1 SV=3,211,83744,8,8,7,7
,,,,,,,,
70,CLPT1_HUMAN,Cleft lip and palate transmembrane protein 1 OS=Homo sapiens GN=CLPTM1 PE=1 SV=1,210,76277,5,5,4,4
,,,,,,,,
71,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,210,105962,8,8,6,6
,,,,,,,,
72,WRIP1_HUMAN,ATPase WRNIP1 OS=Homo sapiens GN=WRNIP1 PE=1 SV=2,206,72829,8,8,7,7
,,,,,,,,
73,CUL3_HUMAN,Cullin-3 OS=Homo sapiens GN=CUL3 PE=1 SV=2,205,89444,8,8,8,8
,,,,,,,,
74,GFPT1_HUMAN,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3,203,79555,6,6,5,5
,,,,,,,,
75,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,200,70294,4,4,4,4
,,,,,,,,
76,GEPH_HUMAN,Gephyrin OS=Homo sapiens GN=GPHN PE=1 SV=1,199,80382,6,6,6,6
,,,,,,,,
77,AMOT_HUMAN,Angiomotin OS=Homo sapiens GN=AMOT PE=1 SV=1,196,118469,7,7,5,5
,,,,,,,,
78,ILF3_HUMAN,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,188,95678,11,10,8,7
,,,,,,,,
79,STRN3_HUMAN,Striatin-3 OS=Homo sapiens GN=STRN3 PE=1 SV=3,186,87554,9,9,6,6
,,,,,,,,
80,ELP2_HUMAN,Elongator complex protein 2 OS=Homo sapiens GN=ELP2 PE=1 SV=2,186,94266,7,7,7,7
,,,,,,,,
81,UFL1_HUMAN,E3 UFM1-protein ligase 1 OS=Homo sapiens GN=KIAA0776 PE=1 SV=2,183,89996,8,7,7,6
,,,,,,,,
82,TBB5_HUMAN,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,182,50095,5,5,3,3
,,,,,,,,
83,CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens GN=CD2AP PE=1 SV=1,181,71635,11,11,7,7
,,,,,,,,
84,SSRP1_HUMAN,FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1,180,81367,8,8,6,6
,,,,,,,,
85,CPT1A_HUMAN,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens GN=CPT1A PE=1 SV=2",180,88995,6,6,6,6
,,,,,,,,
86,TLE3_HUMAN,Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=1 SV=2,179,84162,7,7,6,6
,,,,,,,,
87,GRP75_HUMAN,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",177,73920,4,4,3,3
,,,,,,,,
88,STRN4_HUMAN,Striatin-4 OS=Homo sapiens GN=STRN4 PE=1 SV=2,175,81287,8,8,4,4
,,,,,,,,
89,CUL4B_HUMAN,Cullin-4B OS=Homo sapiens GN=CUL4B PE=1 SV=3,174,102805,10,9,8,8
,,,,,,,,
90,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,171,105245,10,10,9,9
,,,,,,,,
91,CND2_HUMAN,Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3,169,83310,6,6,2,2
,,,,,,,,
92,NUCL_HUMAN,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,169,76625,8,8,7,7
,,,,,,,,
93,DJC10_HUMAN,DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2,169,92333,6,6,5,5
,,,,,,,,
94,MD1L1_HUMAN,Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens GN=MAD1L1 PE=1 SV=2,168,83301,10,9,9,8
,,,,,,,,
95,TLE1_HUMAN,Transducin-like enhancer protein 1 OS=Homo sapiens GN=TLE1 PE=1 SV=2,165,84061,3,3,3,3
,,,,,,,,
96,ENAH_HUMAN,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,160,66584,6,6,6,6
,,,,,,,,
97,OSBL9_HUMAN,Oxysterol-binding protein-related protein 9 OS=Homo sapiens GN=OSBPL9 PE=1 SV=2,158,83817,4,4,3,3
,,,,,,,,
98,MTA1_HUMAN,Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2,158,81420,5,5,4,4
,,,,,,,,
99,MCM2_HUMAN,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,155,102516,6,6,4,4
,,,,,,,,
100,EI2BE_HUMAN,Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens GN=EIF2B5 PE=1 SV=3,154,81071,7,7,6,6
,,,,,,,,
101,MOGS_HUMAN,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5,153,92032,8,8,7,7
,,,,,,,,
102,GOGA5_HUMAN,Golgin subfamily A member 5 OS=Homo sapiens GN=GOLGA5 PE=1 SV=2,152,82997,5,5,5,5
,,,,,,,,
103,AMPD2_HUMAN,AMP deaminase 2 OS=Homo sapiens GN=AMPD2 PE=1 SV=2,152,101422,7,7,6,6
,,,,,,,,
104,NCBP1_HUMAN,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,152,92864,7,7,7,7
,,,,,,,,
105,GRP78_HUMAN,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,152,72402,4,4,4,4
,,,,,,,,
106,NSMA3_HUMAN,Sphingomyelin phosphodiesterase 4 OS=Homo sapiens GN=SMPD4 PE=1 SV=2,150,94033,6,6,6,6
,,,,,,,,
107,TBL3_HUMAN,Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,148,90347,6,6,6,6
,,,,,,,,
108,OSB11_HUMAN,Oxysterol-binding protein-related protein 11 OS=Homo sapiens GN=OSBPL11 PE=1 SV=2,145,84332,5,5,5,5
,,,,,,,,
109,LAP2A_HUMAN,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2",144,76016,6,6,6,6
,,,,,,,,
110,VPS52_HUMAN,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens GN=VPS52 PE=1 SV=1,144,82512,5,5,4,4
,,,,,,,,
111,NSUN2_HUMAN,tRNA (cytosine-5-)-methyltransferase NSUN2 OS=Homo sapiens GN=NSUN2 PE=1 SV=2,143,87214,8,8,6,6
,,,,,,,,
112,UBIQ_HUMAN,Ubiquitin OS=Homo sapiens GN=RPS27A PE=1 SV=1,143,8560,6,6,3,3
,,,,,,,,
113,P3H1_HUMAN,Prolyl 3-hydroxylase 1 OS=Homo sapiens GN=LEPRE1 PE=1 SV=2,139,84196,4,4,4,4
,,,,,,,,
114,PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,139,18487,4,4,4,4
,,,,,,,,
115,TIF1B_HUMAN,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,138,90261,5,5,4,4
,,,,,,,,
116,AP1G1_HUMAN,AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5,138,92148,7,7,6,6
,,,,,,,,
117,PDXD1_HUMAN,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,135,87565,7,7,6,6
