Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,3922,59043,261,256,25,25
,,,,,,,,
2,FAS_HUMAN,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,2933,275877,139,136,63,63
,,,,,,,,
3,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,2913,283301,111,106,65,62
,,,,,,,,
4,EIF3A_HUMAN,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,1613,166867,103,100,61,60
,,,,,,,,
5,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,1337,534809,67,63,51,49
,,,,,,,,
6,RBP2_HUMAN,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,1307,362365,48,48,39,39
,,,,,,,,
7,FLNB_HUMAN,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1,1257,280188,54,53,40,39
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,SYEP_HUMAN,Bifunctional aminoacyl-tRNA synthetase OS=Homo sapiens GN=EPRS PE=1 SV=5,1146,172080,48,48,36,36
,,,,,,,,
10,HUWE1_HUMAN,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3,1127,485523,51,50,45,44
,,,,,,,,
11,TLN1_HUMAN,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,1097,271766,43,42,33,33
,,,,,,,,
12,PRKDC_HUMAN,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,1084,473749,45,45,39,39
,,,,,,,,
13,TPR_HUMAN,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,1071,267530,52,51,37,37
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,CLH1_HUMAN,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,1027,193260,45,42,30,30
,,,,,,,,
16,AT1A1_HUMAN,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,980,114135,31,31,21,21
,,,,,,,,
17,SMC1A_HUMAN,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,851,143771,53,52,39,38
,,,,,,,,
18,COPA_HUMAN,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,822,139797,42,42,30,30
,,,,,,,,
19,SF3B1_HUMAN,Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3,711,146479,27,27,23,23
,,,,,,,,
20,ROCK1_HUMAN,Rho-associated protein kinase 1 OS=Homo sapiens GN=ROCK1 PE=1 SV=1,694,159102,33,31,27,25
,,,,,,,,
21,MPRI_HUMAN,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=2,663,281056,30,29,24,23
,,,,,,,,
22,SMC4_HUMAN,Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,654,147775,30,28,24,22
,,,,,,,,
23,U520_HUMAN,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,636,246006,38,38,29,29
,,,,,,,,
24,GCN1L_HUMAN,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=5,624,294953,31,30,27,26
,,,,,,,,
,,,,,,,,
,,,,,,,,
26,SPTB2_HUMAN,"Spectrin beta chain, brain 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",556,275237,25,23,24,22
,,,,,,,,
27,JIP4_HUMAN,C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4,541,146913,25,24,22,21
,,,,,,,,
28,SPTA2_HUMAN,"Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=1 SV=3",538,285163,24,22,19,18
,,,,,,,,
29,PRP8_HUMAN,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,522,274738,35,31,30,27
,,,,,,,,
30,SF3B3_HUMAN,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4,520,136575,18,18,14,14
,,,,,,,,
31,IF4G1_HUMAN,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=1 SV=3,511,176168,25,24,18,17
,,,,,,,,
32,AT2A2_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,492,116336,18,18,12,12
,,,,,,,,
33,DCTN1_HUMAN,Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=3,489,142348,19,19,15,15
,,,,,,,,
34,SPT6H_HUMAN,Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2,454,200203,24,24,18,18
,,,,,,,,
35,PYR1_HUMAN,CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3,449,245167,29,29,23,23
,,,,,,,,
36,PLEC1_HUMAN,Plectin-1 OS=Homo sapiens GN=PLEC1 PE=1 SV=3,428,533462,26,23,24,21
,,,,,,,,
,,,,,,,,
,,,,,,,,
